head(2015-04-28 15:00 从monny导入)
"2015-04-28", "traffic-commute", "25.00", "", "CNY", "25.00", "CNY", ""
"2015-04-28", "meal", "8.00", "", "CNY", "8.00", "CNY", ""
"2015-04-27", "traffic-commute", "5.00", "", "CNY", "5.00", "CNY", ""
"2015-04-27", "meal", "5.00", "", "CNY", "5.00", "CNY", ""
"2015-04-27", "parent", "", "200000.00", "CNY", "200000.00", "CNY", "爸妈的嫁妆"
"2015-04-27", "meal", "192.00", "", "CNY", "192.00", "CNY", ""
"2015-04-26", "wedding", "5190.00", "", "CNY", "5190.00", "CNY", "西服订金50%"
"2015-04-25", "refund", "", "139.00", "CNY", "139.00", "CNY", "Timo食物退款"
"2015-04-25", "house", "1000.00", "", "CNY", "1000.00", "CNY", "窗帘订金 尾款还有2980"
"2015-04-25", "meal", "45.00", "", "CNY", "45.00", "CNY", ""
"2015-04-25", "meal", "70.00", "", "CNY", "70.00", "CNY", "s家"
"2015-04-24", "meal", "12.00", "", "CNY", "12.00", "CNY", ""
"2015-04-24", "parent", "140000.00", "", "CNY", "140000.00", "CNY", "爸妈提款"
"2015-04-24", "work", "143.00", "", "CNY", "143.00", "CNY", "垫付 房交会丝巾头花"
"2015-04-24", "house", "775.00", "", "CNY", "775.00", "CNY", "宜家"
"2015-04-23", "government", "40.00", "", "CNY", "40.00", "CNY", "150721_购汇6欧元"
"2015-04-23", "meal", "8.00", "", "CNY", "8.00", "CNY", ""
"2015-04-23", "traffic-commute", "5.00", "", "CNY", "5.00", "CNY", ""
"2015-04-23", "traffic-commute", "30.00", "", "CNY", "30.00", "CNY", "充卡"
"2015-04-23", "meal", "16.50", "", "CNY", "16.50", "CNY", "snack"
"2015-04-22", "meal", "107.00", "", "CNY", "107.00", "CNY", ""
"2015-04-22", "meal", "15.00", "", "CNY", "15.00", "CNY", ""
"2015-04-21", "traffic-commute", "5.00", "", "CNY", "5.00", "CNY", ""
